FECHA INGRESO;N° EXP;EMPRESA;MINISTERIO;DECRETO
18/10/2024;91572;SAN JORGE S.R.L.;MEF;DEC 268
25/10/2024;91589;VIDRIERÍA LA PAZ LTDA;MIEM;DEC 268
28/11/2024;91726;TABARE AGUERRE LOMBARDO;MGAP ;DEC 268
20/12/2024;91938;SERGIO SENCION  SANCHEZ;MEF;DEC 268
27/09/2024;91510;RUVIARO DE SOUZA MARCIO;MGAP;DEC 268
07/11/2024;85803-A1;TABARE AGUERRE LOMBARDO;MGAP;DEC 268
28/11/2024;87345-A1;PEDREIRA ALJAS MATIAS DIDIER;MEF ;DEC 268
16/12/2024;85814-A1;LUCERO NATIVO S.A.;MIEM;DEC 268
20/12/2024;91940;TECTUY CONSTRUCCIONES S.R.L.;MEF ;DEC 268
24/12/2024;91993;MARCOS LORENZELLI;MIEM;DEC 341/22
05/06/2025;92906;LA COSTA SONRIENDO S.R.L.;MEF;DEC 268
24/12/2024;91994;ANGERAL S.R.L.;MEF;DEC 268
24/12/2024;91995;RUACOR S.A.;MEF;DEC 268
29/12/2023;85276-A1;MARCOS LORENZELLI S.R.L.;MIEM;DEC 268
24/12/2024;85805-A1;PIVETTA HNOS S.R.L.;MIEM;DEC 268
27/12/2024;92177;LANZARO ALUMINIOS S.A.S.;MIEM;DEC 268
30/01/2025;92347;ARTE ALUMINIO S.R.L.;MIEM;DEC 268
30/12/2022;86005-A1;COUTINHO MONES RODRIGO Y BRUNO GAMBOA ROSANA PAOLA;MEF;DEC 268
30/06/2025;93027;ARAUJO MELLO GASTON;MEF;DEC 268
31/07/2025;90626-A1;CERPAY S.A.S.;MEF;DEC 268
27/08/2025;93287;BIOSFER SAS;MEF;268/020
30/09/2025;85650-A1;GUERISOLI FONTOURA LUIS EDGARDO Y SILVA GUERISOLI EDGAR ANTONI;MIEM;268/020
31/10/2025;93565;34GRADOS SAS;MEF;268/020
31/10/2025;93566;BRUFAS SAS EN FORMACION;MEF;268/020
26/11/2025;93641;MEZQUITA BORGES S.R.L.;MEF;268/020
28/11/2025;;DOCTOS SRL;MEF;268/020
28/11/2025;;RIVAS HNOS;MEF;268/020
